name,price,url,image_url,image_path,category,pet_type
Royal Canin German Shepherd Adult Dry Dog Food,2648.80,https://headsupfortails.com/products/royal-canin-german-shepherd-adult-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/GermanShepherdAdult-1.png?v=1743273619,dog_food_images\Royal_Canin_German_Shepherd_Adult_Dry_Dog_Food.png,Dry Food,Dog
Chappi Adult Dry Dog Food - Chicken and Rice,479.75,https://headsupfortails.com/products/chappi-adult-dry-dog-food-chicken-and-rice,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/ChappiAdultDryDogFood-ChickenandRice_9416bdc5-e00a-430a-b4db-8a26a79f8c5a.jpg?v=1682069993,dog_food_images\Chappi_Adult_Dry_Dog_Food___Chicken_and_Rice.jpg,Dry Food,Dog
Signature Grain Zero Puppy Dry Food,667.00,https://headsupfortails.com/products/signature-grain-zero-puppy-dry-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/Puppy-GrainZero-1-2kg-Front3.jpg?v=1690200488,dog_food_images\Signature_Grain_Zero_Puppy_Dry_Food.jpg,Dry Food,Dog
Taste of the Wild Pacific Stream Canine Formula Grain Free Adult Dry Dog Food - Smoked Salmon,2250.00,https://headsupfortails.com/products/taste-of-the-wild-adult-dry-dog-food-grain-free-pacific-stream-with-smoked-salmon,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/TASTEO_1.jpg?v=1681970041,dog_food_images\Taste_of_the_Wild_Pacific_Stream_Canine_Formula_Gr.jpg,Dry Food,Dog
Royal Canin Labrador Retriever Adult Dry Dog Food,2675.00,https://headsupfortails.com/products/royal-canin-labrador-retriever-adult-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/LabradorRetrieverAdult-1.png?v=1743273623,dog_food_images\Royal_Canin_Labrador_Retriever_Adult_Dry_Dog_Food.png,Dry Food,Dog
Signature Grain Zero Adult Dry Dog Food,625.60,https://headsupfortails.com/products/signature-grain-zero-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/Adult-GrainZero-1-2kg-Front-3.jpg?v=1690200635,dog_food_images\Signature_Grain_Zero_Adult_Dry_Dog_Food.jpg,Dry Food,Dog
Royal Canin Maxi Starter Dry Dog Food,994.00,https://headsupfortails.com/products/royal-canin-maxi-starter-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550778763_01.jpg?v=1743273569,dog_food_images\Royal_Canin_Maxi_Starter_Dry_Dog_Food.jpg,Dry Food,Dog
Orijen Original Grain Free Dry Dog Food (All Breeds & Ages),649.00,https://headsupfortails.com/products/orijen-original-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/064992182175-5.jpg?v=1705915421,dog_food_images\Orijen_Original_Grain_Free_Dry_Dog_Food__All_Breed.jpg,Dry Food,Dog
Royal Canin Rottweiler Puppy Dry Dog Food - 3 kg,2816.00,https://headsupfortails.com/products/royal-canin-rottweiler-puppy-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/RottweilerPuppy-1.png?v=1743273587,dog_food_images\Royal_Canin_Rottweiler_Puppy_Dry_Dog_Food___3_kg.png,Dry Food,Dog
Pedigree PRO Expert Nutrition Adult Small Breed Dogs (9 Months Onwards) Dry Dog Food,469.20,https://headsupfortails.com/products/pedigree-pro-expert-nutrition-adult-small-breed-dogs-9-months-onwards-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/7171215-1_PedigreeProAdultSmallBreed1.2kg_FOP.jpg?v=1744608808,dog_food_images\Pedigree_PRO_Expert_Nutrition_Adult_Small_Breed_Do.jpg,Dry Food,Dog
