name,price,url,image_url,image_path,category,pet_type
Me-O Seafood Dry Cat Food,165.00,https://headsupfortails.com/products/me-o-adult-cat-food-seafood-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OSeafoodDryCatFood.jpg?v=1636374498,cat_images\Me-O Seafood Dry Cat Food.jpg,Cat Dry Food,Cat
Me-O Persian Dry Kitten Food,450.00,https://headsupfortails.com/products/me-o-persian-kitten-food-1-1-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/MeOPersianKittenCatDryFood.jpg?v=1694176444,cat_images\Me-O Persian Dry Kitten Food.jpg,Cat Dry Food,Cat
Me-O Chicken & Vegetable Adult Dry Cat Food,195.00,https://headsupfortails.com/products/me-o-adult-cat-food-chicken-vegetable-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OChicken_VegetableAdultDryCatFood.jpg?v=1636374024,cat_images\Me-O Chicken & Vegetable Adult Dry Cat Food.jpg,Cat Dry Food,Cat
Me-O Oceanfish Dry Kitten Food - 1.2 kg,425.00,https://headsupfortails.com/products/me-o-kitten-oceanfish-1-2-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OKittenOceanfishDryCatFood-1.2kg.jpg?v=1636463672,cat_images\Me-O Oceanfish Dry Kitten Food - 1.2 kg.jpg,Cat Dry Food,Cat
Me-O Tuna Dry Cat Food,195.00,https://headsupfortails.com/products/me-o-adult-cat-food-tuna-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OTunaDryCatFood_64a8a2d3-df52-453b-b379-b2460a1d955c.png?v=1636374949,cat_images\Me-O Tuna Dry Cat Food.jpg,Cat Dry Food,Cat
Royal Canin Dry Food & HUFT Mahi Mahi Fish Treats Combo For Mother & Babycat,2331.12,https://headsupfortails.com/products/royal-canin-dry-food-mahi-mahi-fish-treats,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/HUFTCB1079.jpg?v=1743273394,cat_images\Royal Canin Dry Food & HUFT Mahi Mahi Fish Treats .jpg,Cat Dry Food,Cat
"Sheba Kitten & Adult, Salmon Flavour Irresistible Dry Cat Food - 1.5 kg",967.12,https://headsupfortails.com/products/sheba-kitten-adult-salmon-flavour-irresistible-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/ShebaKittenandAdult_IrresistibleDryCatFood_SalmonFlavour_1_13.jpg?v=1744608522,"cat_images\Sheba Kitten & Adult, Salmon Flavour Irresistible .jpg",Cat Dry Food,Cat
Me-O Anti-Hairball Formula Persian Dry Cat Food,170.00,https://headsupfortails.com/products/me-o-adult-persian-cat-food-anti-hairball-formula-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OAnti-HairballFormulaPersianDryCatFood_7b08cde3-b51d-4a73-9e97-a70f48acf32d.jpg?v=1636373952,cat_images\Me-O Anti-Hairball Formula Persian Dry Cat Food.jpg,Cat Dry Food,Cat
Purepet Tuna And Salmon Adult Dry Food For Cats,99.00,https://headsupfortails.com/products/purepet-tuna-and-salmon-adult-dry-food-for-cats,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Purepet-Adult-_1-Year_-Dry-Cat-Food_-Tuna-and-Salmon_-1.2kg.jpg?v=1656421244,cat_images\Purepet Tuna And Salmon Adult Dry Food For Cats.jpg,Cat Dry Food,Cat
Royal Canin Veterinary Diet Urinary Dry Food For Cat - 1.5 kg,1980.00,https://headsupfortails.com/products/royal-canin-veterinary-diet-urinary-dry-food-for-cat-1-5-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/11156_1_1800x1800_62478c4f-f09c-4548-9d63-2da6deb1bd99.jpg?v=1743273350,cat_images\Royal Canin Veterinary Diet Urinary Dry Food For C.jpg,Cat Dry Food,Cat
Taste of the Wild Grain Free Dry Cat Food (Trout & Smoked Salmon) - 2 kg,2400.00,https://headsupfortails.com/products/taste-of-the-wild-dry-cat-food-grain-free-canyon-river-with-trout-smoked-salmon,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/TasteoftheWildGrainFreeDryCatFood_Trout_SmokedSalmon_-2kg_2fb68a13-94d1-44e7-8a14-701b5c55376f.jpg?v=1683106684,cat_images\Taste of the Wild Grain Free Dry Cat Food (Trout &.jpg,Cat Dry Food,Cat
Royal Canin Persian Kitten Dry Food & Anchovy Fish Treats,2595.12,https://headsupfortails.com/products/royal-canin-kitten-dry-food-anchovy-fish-treats,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/HUFTCB1081.jpg?v=1743273391,cat_images\Royal Canin Persian Kitten Dry Food & Anchovy Fish.jpg,Cat Dry Food,Cat
Royal Canin Hair & Skin Care Dry Cat Food,457.60,https://headsupfortails.com/products/royal-canin-hair-skin-care-dry-cat-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/HairAndSkinCare-1.png?v=1743273605,cat_images\Royal Canin Hair & Skin Care Dry Cat Food.jpg,Cat Dry Food,Cat
Royal Canin Hair & Skin Care Dry Food & Mahi Mahi Fish Treats for Adult Cats,2067.12,https://headsupfortails.com/products/royal-canin-hair-skin-care-dry-food-mahi-mahi-fish-treats-for-adult-cats,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/HUFTCB1065.jpg?v=1743273417,cat_images\Royal Canin Hair & Skin Care Dry Food & Mahi Mahi .jpg,Cat Dry Food,Cat
